id,acronym,name,direct_voxels,descendant_voxels,total_voxels
1,TMv,Tuberomammillary nucleus, ventral part,6931,0,6931
2,SSp-m6b,Primary somatosensory area, mouth, layer 6b,7339,0,7339
3,sec,secondary fissure,0,0,0
4,IC,Inferior colliculus,0,284601,284601
6,int,internal capsule,134366,0,134366
7,PSV,Principal sensory nucleus of the trigeminal,70327,0,70327
8,grey,Basic cell groups and regions,0,28774455,28774455
9,SSp-tr6a,Primary somatosensory area, trunk, layer 6a,14877,0,14877
10,SCig,Superior colliculus, motor related, intermediate gray layer,130357,0,130357
11,plf,posterolateral fissure,0,0,0
12,IF,Interfascicular nucleus raphe,5559,0,5559
14,im,internal medullary lamina of the thalamus,0,0,0
15,PT,Parataenial nucleus,14706,0,14706
16,6b,Layer 6b, isocortex,0,0,0
17,SCiw,Superior colliculus, motor related, intermediate white layer,133937,0,133937
18,nf,nodular fissure,0,0,0
19,IG,Induseum griseum,7958,0,7958
20,ENTl2,Entorhinal area, lateral part, layer 2,102602,0,102602
21,lotg,lateral olfactory tract, general,0,67975,67975
22,PTLp,Posterior parietal association areas,0,157056,157056
23,AAA,Anterior amygdalar area,31652,0,31652
25,sif,simple fissure,0,0,0
26,SCdg,Superior colliculus, motor related, deep gray layer,76483,0,76483
27,IGL,Intergeniculate leaflet of the lateral geniculate complex,4415,0,4415
28,ENTl6a,Entorhinal area, lateral part, layer 6a,67154,0,67154
29,sttl,lateral spinothalamic tract,0,0,0
30,PVa,Periventricular hypothalamic nucleus, anterior part,3191,0,3191
31,ACA,Anterior cingulate area,0,354549,354549
33,VISp6a,Primary visual area, layer 6a,68387,0,68387
34,icf,intercrural fissure,0,0,0
35,III,Oculomotor nucleus,2084,0,2084
36,GU1,Gustatory areas, layer 1,12588,0,12588
37,lab,longitudinal association bundle,0,0,0
38,PVH,Paraventricular hypothalamic nucleus,12076,0,12076
39,ACAd,Anterior cingulate area, dorsal part,0,200306,200306
41,VISpm2/3,posteromedial visual area, layer 2/3,18770,0,18770
42,SCdw,Superior colliculus, motor related, deep white layer,21283,0,21283
43,apf,ansoparamedian fissure,0,0,0
44,ILA,Infralimbic area,0,53963,53963
45,SPVOrdm,Spinal nucleus of the trigeminal, oral part, rostral dorsomedial part,0,0,0
46,mfbsma,mammillary related,0,16710,16710
47,PVHam,Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part,0,0,0
48,ACAv,Anterior cingulate area, ventral part,0,154243,154243
49,ipf,intraparafloccular fissure,0,0,0
50,PRC,Precommissural nucleus,10968,0,10968
51,ILM,Intralaminar nuclei of the dorsal thalamus,0,102789,102789
52,ENTl3,Entorhinal area, lateral part, layer 3,84281,0,84281
53,SPVOmdmd,Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone,0,0,0
54,mfb,medial forebrain bundle,3186,0,3186
55,PVHap,Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part,0,0,0
56,ACB,Nucleus accumbens,281489,0,281489
57,pms,paramedian sulcus,0,0,0
58,MT,Medial terminal nucleus of the accessory optic tract,2753,0,2753
59,IMD,Intermediodorsal nucleus of the thalamus,11270,0,11270
60,ENTl6b,Entorhinal area, lateral part, layer 6b,0,0,0
61,SPVOmdmv,Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, ventral zone,0,0,0
62,mlf,medial longitudinal fascicle,9452,0,9452
63,PVHd,Paraventricular hypothalamic nucleus, descending division,8369,0,8369
64,AD,Anterodorsal nucleus,10248,0,10248
65,pfs,parafloccular sulcus,0,0,0
66,LT,Lateral terminal nucleus of the accessory optic tract,1147,0,1147
67,INC,Interstitial nucleus of Cajal,5086,0,5086
68,FRP1,Frontal pole, layer 1,16219,0,16219
69,SPVOvl,Spinal nucleus of the trigeminal, oral part, ventrolateral part,0,0,0
